Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
PDRN Hydrating Gel Cleanser,"PDRN, гель для вмивання, очищення, зволоження, м'яке очищення, корейська косметика","М'який гель для вмивання з PDRN, який очищує без пересушування та зволожує шкіру.","PDRN Hydrating Gel Cleanser — це м'який гель для вмивання з рослинним PDRN, який ефективно очищує шкіру, не порушуючи її захисний бар'єр. Ідеальний для щоденного ранкового та вечірнього очищення.

Гелева текстура утворює ніжну піну, яка видаляє забруднення, макіяж та надлишок себуму. PDRN та гіалуронова кислота зволожують шкіру під час очищення, запобігаючи відчуттю стягнутості.

Підходить для всіх типів шкіри, включаючи чутливу. pH-збалансована формула.",16+,"Рослинний PDRN, гіалуронова кислота, бетаїн, алантоїн, екстракт алое",Всі типи,PDRN,Натуральна
Zero Foam Cleanser,"пінка для вмивання, очищення пор, матування, жирна шкіра, корейська косметика","Пінка для глибокого очищення жирної шкіри та звуження пор.","Zero Foam Cleanser — це пінка для глибокого очищення жирної та комбінованої шкіри. Формула ефективно видаляє надлишок себуму, забруднення та залишки макіяжу.

Пінка містить каолін для абсорбції жиру та ніацинамід для звуження пор. Після вмивання шкіра чиста, матова, але не пересушена.

Використовувати вранці та ввечері. Ідеальна для другого етапу подвійного очищення.",16+,"Ніацинамід, каолін, цинк PCA, екстракт гамамелісу, бетаїн",Жирна/Комбінована,Zero Pore,Лікувальна
Red Foam Cleanser,"пінка для вмивання, акне, проблемна шкіра, антибактеріальний, корейська косметика","Пінка для очищення проблемної шкіри з акне. Антибактеріальна дія.","Red Foam Cleanser — це пінка для очищення проблемної шкіри, схильної до акне. Формула з янтарною кислотою та екстрактом центели м'яко очищує, не подразнюючи запалені ділянки.

Пінка видаляє бактерії та забруднення, які провокують акне. Центела заспокоює запалення, а ніацинамід зменшує почервоніння.

Використовувати вранці та ввечері. Уникати потрапляння в очі.",16+,"Янтарна кислота, екстракт центели, ніацинамід, чайне дерево, алантоїн",Проблемна,Red,Лікувальна
Zero Pore Sa Clear Capsule Cleancing Foam,"салицилова кислота, капсульна пінка, очищення пор, BHA, корейська косметика","Капсульна пінка з салициловою кислотою для глибокого очищення пор.","Zero Pore Sa Clear Capsule Cleancing Foam — це інноваційна пінка з капсулами салицилової кислоти, які активуються при вмиванні. BHA проникає в пори, розчиняючи забруднення та себум.

Капсульна технологія забезпечує свіжість та ефективність активних інгредієнтів при кожному використанні. Після вмивання пори чисті, шкіра матова та свіжа.

Використовувати ввечері. Рекомендується для жирної та комбінованої шкіри.",16+,"Салицилова кислота (BHA), ніацинамід, каолін, цинк PCA, алантоїн",Жирна/Комбінована,Zero Pore,Лікувальна
Zero Pore Blackhead Deep Cleansing Oil,"гідрофільна олія, очищення, видалення макіяжу, чорні цятки, корейська косметика","Гідрофільна олія для глибокого очищення та видалення чорних цяток.","Zero Pore Blackhead Deep Cleansing Oil — це гідрофільна олія для першого етапу подвійного очищення. Ефективно розчиняє макіяж, SPF та забруднення, що накопичуються в порах.

Формула містить компоненти, які розм'якшують чорні цятки та полегшують їх видалення. При контакті з водою олія перетворюється на молочну емульсію, яка легко змивається.

Використовувати ввечері на суху шкіру. Масажувати 1-2 хвилини, потім змити водою.",16+,"Мінеральна олія, олія жожоба, вітамін Е, екстракт гамамелісу",Всі типи,Zero Pore,Натуральна
Zero Pore Toner,"тонер, звуження пор, матування, підготовка шкіри, корейська косметика","Тонер для звуження пор та підготовки шкіри до подальшого догляду.","Zero Pore Toner — це тонер для жирної та комбінованої шкіри, який звужує пори, матує та балансує pH шкіри після очищення. Підготовлює шкіру до подальшого догляду.

BHA м'яко ексфолює та очищує пори зсередини. Ніацинамід звужує пори та контролює виділення себуму. Гіалуронова кислота зволожує без жирного блиску.

Наносити на ватний диск або долонями після очищення.",16+,"Салицилова кислота (BHA), ніацинамід, гіалуронова кислота, екстракт гамамелісу",Жирна/Комбінована,Zero Pore,Лікувальна
Triple Collagen Toner,"колаген, тонер, зволоження, пружність, антивіковий, корейська косметика","Тонер з потрійним колагеном для зволоження та підвищення пружності шкіри.","Triple Collagen Toner — це зволожуючий тонер з трьома видами колагену для зрілої та зневодненої шкіри. Перший крок антивікового догляду після очищення.

Тонер насичує шкіру колагеном, підготовлюючи її до подальших етапів догляду. Гіалуронова кислота забезпечує миттєве зволоження, а пантенол заспокоює.

Наносити долонями або ватним диском, м'яко вбиваючи в шкіру.",25+,"Потрійний колаген, гіалуронова кислота, пантенол, алантоїн, бетаїн",Суха/Зріла,Collagen,Натуральна
PDRN Pink Niacinamide Milky Toner,"PDRN, ніацинамід, молочний тонер, освітлення, зволоження, корейська косметика","Молочний тонер з PDRN та ніацинамідом для освітлення та зволоження шкіри.","PDRN Pink Niacinamide Milky Toner — це насичений молочний тонер з рослинним PDRN та ніацинамідом для комплексного догляду. Молочна текстура інтенсивно зволожує та живить шкіру.

PDRN стимулює регенерацію, ніацинамід освітлює та вирівнює тон шкіри. Церамідний комплекс відновлює захисний бар'єр.

Наносити долонями, м'яко вбиваючи. Можна використовувати в кілька шарів для інтенсивного зволоження.",18+,"Рослинний PDRN, ніацинамід, церамідний комплекс, гіалуронова кислота, пантенол",Всі типи,PDRN Pink,Натуральна
PDRN Pink Cica Soothing Toner,"PDRN, центела, заспокійливий тонер, чутлива шкіра, корейська косметика","Заспокійливий тонер з PDRN та центелою для чутливої та подразненої шкіри.","PDRN Pink Cica Soothing Toner — це заспокійливий тонер для чутливої шкіри, який поєднує регенеруючу силу PDRN з заспокійливими властивостями центели азіатської.

Тонер зменшує почервоніння, заспокоює подразнення та відновлює комфорт шкіри. Ідеальний після косметологічних процедур або при реактивній шкірі.

Наносити долонями або компресом на подразнені ділянки.",16+,"Рослинний PDRN, мадекасосид, азіатикозид, пантенол, алантоїн, бетаїн",Чутлива,PDRN Pink,Натуральна

