Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
PDRN Pink Collagen Glow Jelly Serum,"PDRN, колаген, желе-сироватка, сяйво, зволоження, корейська косметика","Желе-сироватка з PDRN та колагеном для миттєвого сяйва та зволоження.","PDRN Pink Collagen Glow Jelly Serum — це інноваційна желе-сироватка з PDRN та колагеном для миттєвого ефекту сяйва та зволоження. Желеподібна текстура тане на шкірі, залишаючи відчуття свіжості.

Сироватка надає шкірі ефекту «glass skin» — сяючої, рівної, зволоженої шкіри. PDRN стимулює регенерацію, колаген підвищує пружність.

Наносити після тонера. Можна використовувати самостійно або під крем.",18+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, пантенол",Всі типи,PDRN Pink,Натуральна
PDRN Pink Collagen Glow Jelly Mist Serum,"PDRN, колаген, міст-сироватка, сяйво, освіження, корейська косметика","Міст-сироватка з PDRN та колагеном для миттєвого сяйва та освіження протягом дня.","PDRN Pink Collagen Glow Jelly Mist Serum — це міст-сироватка для миттєвого освіження та сяйва шкіри в будь-який час дня. Можна наносити на макіяж для ефекту «dewy skin».

Дрібнодисперсний спрей рівномірно розподіляє есенцію з PDRN та колагеном. Шкіра миттєво виглядає свіжою, сяючою, зволоженою.

Використовувати протягом дня для освіження. Тримати на відстані 20-30 см від обличчя.",16+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, алантоїн",Всі типи,PDRN Pink,Натуральна
PDRN Pink Collagen Toning Gel Toner Pad,"PDRN, колаген, тонуючі педи, тонізування, зволоження, корейська косметика","Тонуючі педи з PDRN та колагеном для тонізування та зволоження шкіри.","PDRN Pink Collagen Toning Gel Toner Pad — це педи, просочені гелевим тонером з PDRN та колагеном. Зручний формат для швидкого тонізування та зволоження.

Педи видаляють залишки забруднень після вмивання, тонізують та зволожують шкіру. PDRN стимулює регенерацію, колаген підвищує пружність.

Використовувати після очищення вранці та ввечері. 70 педів у банці.",18+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, пантенол",Всі типи,PDRN Pink,Натуральна
One Day Exosome Shot 2000,"екзосоми, ампула, регенерація, антивіковий, інтенсивний догляд, корейська косметика","Інтенсивна ампула з 2000 екзосомами для швидкої регенерації шкіри.","One Day Exosome Shot 2000 — це концентрована ампула з 2000 екзосомами для інтенсивної регенерації шкіри. Екзосоми — це мікроскопічні везикули, які доставляють активні компоненти безпосередньо в клітини.

Ампула призначена для курсового застосування при вираженій втомленості шкіри, після стресу або косметологічних процедур. Результат — відновлена, сяюча шкіра.

Використовувати 1 ампулу за раз. Курс — 7-14 днів.",25+,"Екзосоми 2000 ppm, гіалуронова кислота, пептиди, ніацинамід, пантенол",Всі типи,Exosome,Натуральна
One Day Exosome Shot 7500,"екзосоми, ампула, інтенсивна регенерація, антивіковий, професійний догляд, корейська косметика","Потужна ампула з 7500 екзосомами для максимальної регенерації шкіри.","One Day Exosome Shot 7500 — це найпотужніша ампула лінійки з концентрацією 7500 екзосом для максимальної регенерації та омолодження шкіри. Професійний рівень догляду вдома.

Ампула призначена для зрілої шкіри з вираженими ознаками старіння, а також для інтенсивного відновлення після агресивних процедур.

Використовувати 1 ампулу за раз. Курс — 7-14 днів для максимального ефекту.",30+,"Екзосоми 7500 ppm, гіалуронова кислота, пептиди, колаген, аденозин",Зріла,Exosome,Натуральна
PDRN Pink Collagen EXOSOME SHOT 2000,"PDRN, екзосоми, колаген, ампула, регенерація, корейська косметика","Ампула з PDRN, екзосомами та колагеном для комплексної регенерації.","PDRN Pink Collagen EXOSOME SHOT 2000 — це потрійна формула для максимальної регенерації: PDRN + екзосоми + колаген в одній ампулі. Комплексний підхід до омолодження шкіри.

Кожен компонент працює на своєму рівні: PDRN стимулює регенерацію клітин, екзосоми доставляють активні компоненти, колаген підвищує пружність.

Використовувати 1 ампулу за раз. Курс — 7-14 днів.",25+,"Рослинний PDRN, екзосоми 2000 ppm, колаген, гіалуронова кислота, пептиди",Зріла,PDRN Pink,Натуральна
PDRN Pink Collagen EXOSOME SHOT 7500,"PDRN, екзосоми, колаген, ампула, максимальна регенерація, корейська косметика","Найпотужніша ампула з PDRN, екзосомами та колагеном для максимального омолодження.","PDRN Pink Collagen EXOSOME SHOT 7500 — це найпотужніша формула лінійки з максимальною концентрацією екзосом (7500 ppm), PDRN та колагеном. Професійний рівень антивікового догляду.

Ампула призначена для зрілої шкіри з вираженими ознаками старіння. Потрійна формула забезпечує комплексне омолодження: регенерацію, підтягування, зволоження.

Використовувати 1 ампулу за раз. Курс — 7-14 днів для максимального ефекту.",30+,"Рослинний PDRN, екзосоми 7500 ppm, колаген, гіалуронова кислота, пептиди",Зріла,PDRN Pink,Натуральна
Red Acne Succinic Acid Peel,"янтарна кислота, пілінг, акне, ексфоліація, проблемна шкіра, корейська косметика","Пілінг з янтарною кислотою для проблемної шкіри з акне.","Red Acne Succinic Acid Peel — це м'який хімічний пілінг з янтарною кислотою для проблемної шкіри. Янтарна кислота — ніжний ексфоліант, який підходить навіть для запаленої шкіри з акне.

Пілінг видаляє омертвілі клітини, очищує пори, зменшує запалення та прискорює загоєння акне. Регулярне використання запобігає появі нових висипань.

Наносити на чисту шкіру на 5-10 хвилин 1-2 рази на тиждень.",16+,"Янтарна кислота, екстракт центели, ніацинамід, алантоїн, бетаїн",Проблемна,Red,Лікувальна
Red Acne Body Peeling Shot,"янтарна кислота, пілінг для тіла, акне на тілі, спина, корейська косметика","Пілінг для тіла з янтарною кислотою для боротьби з акне на спині та тілі.","Red Acne Body Peeling Shot — це спеціалізований пілінг для боротьби з акне на тілі: спині, плечах, грудях. Янтарна кислота м'яко ексфолює та зменшує запалення.

Формула регулює виділення себуму, очищує пори та запобігає появі нових висипань. Екстракт центели заспокоює подразнення.

Наносити на проблемні зони тіла 2-3 рази на тиждень після душу.",16+,"Янтарна кислота, екстракт центели, ніацинамід, чайне дерево, алантоїн",Проблемна,Red,Лікувальна
Red Clear Capsule Body Lotion,"лосьйон для тіла, акне на тілі, зволоження, проблемна шкіра, корейська косметика","Лосьйон для тіла з капсулами для зволоження та боротьби з акне.","Red Clear Capsule Body Lotion — це лосьйон для тіла з капсулами активних компонентів для тих, хто бореться з акне на тілі. Капсули розчиняються при нанесенні, доставляючи активні компоненти в шкіру.

Лосьйон зволожує шкіру тіла, регулює виділення себуму та запобігає появі висипань. Легка текстура швидко вбирається, не залишаючи липкості.

Наносити на тіло після душу, особливу увагу приділити проблемним зонам.",16+,"Янтарна кислота, ніацинамід, гіалуронова кислота, екстракт центели, алантоїн",Проблемна,Red,Лікувальна
