Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
Collagen Jelly Cream,"колаген, желе-крем, зволоження, легка текстура, пружність, корейська косметика","Легкий желе-крем з колагеном для зволоження та пружності без обтяження.","Collagen Jelly Cream — це легкий крем з желеподібною текстурою та колагеном для тих, хто хоче зволоження без важкості. Ідеальний для жирної та комбінованої шкіри, яка потребує колагену.

Желева текстура миттєво тане на шкірі, забезпечуючи глибоке зволоження без жирного блиску. Колаген підвищує пружність, гіалуронова кислота утримує вологу.

Підходить для ранкового та вечірнього догляду. Ідеальна база під макіяж.",18+,"Колаген, гіалуронова кислота, ніацинамід, пантенол, алантоїн",Всі типи,Collagen,Натуральна
Hyaluronic Ceramide Jelly Cream,"гіалуронова кислота, цераміди, желе-крем, зволоження, бар'єр шкіри, корейська косметика","Желе-крем з гіалуроновою кислотою та церамідами для зволоження та відновлення бар'єру.","Hyaluronic Ceramide Jelly Cream — це легкий желе-крем, який поєднує зволожуючу силу гіалуронової кислоти з відновлюючими властивостями церамідів. Ідеальний для зневодненої шкіри з пошкодженим бар'єром.

Гіалуронова кислота забезпечує багаторівневе зволоження, а церамідний комплекс відновлює захисний бар'єр шкіри. Легка текстура не обтяжує та не забиває пори.

Підходить для всіх типів шкіри, особливо для зневодненої.",16+,"Гіалуронова кислота (3 види), 5 видів церамідів, пантенол, сквалан",Всі типи,Hyaluronic,Натуральна
Hyaluronic Moisturising Capsule Cream,"гіалуронова кислота, капсульний крем, інтенсивне зволоження, суха шкіра, корейська косметика","Капсульний крем з гіалуроновою кислотою для інтенсивного зволоження сухої шкіри.","Hyaluronic Moisturising Capsule Cream — це насичений капсульний крем з гіалуроновою кислотою для інтенсивного зволоження сухої та дуже сухої шкіри. Капсули з активними компонентами розчиняються при нанесенні.

Три види гіалуронової кислоти забезпечують зволоження на різних рівнях шкіри. Сквалан та олія ші живлять та пом'якшують. Після нанесення шкіра напоєна, м'яка, без відчуття стягнутості.

Ідеальний для вечірнього догляду та холодного сезону.",18+,"Гіалуронова кислота (3 види), сквалан, масло ші, церамідний комплекс, пантенол",Суха,Hyaluronic,Натуральна
Deep Vita C Capsule Cream,"вітамін С, капсульний крем, освітлення, антиоксидант, сяйво, корейська косметика","Капсульний крем з вітаміном С для освітлення та антиоксидантного захисту.","Deep Vita C Capsule Cream — це крем з капсулами вітаміну С для тих, хто хоче освітлити шкіру та захистити її від вільних радикалів. Капсульна технологія зберігає вітамін С свіжим до моменту нанесення.

Вітамін С освітлює пігментні плями, вирівнює тон шкіри та стимулює вироблення колагену. Ніацинамід посилює освітлюючий ефект, а гіалуронова кислота зволожує.

Використовувати вранці з SPF-захистом для максимального ефекту.",18+,"Вітамін С, ніацинамід, гіалуронова кислота, токоферол, сквалан",Всі типи,Deep Vita C,Натуральна
TXA Niacinamide Capsule Cream,"транексамова кислота, ніацинамід, капсульний крем, пігментація, освітлення, корейська косметика","Капсульний крем з TXA та ніацинамідом для боротьби зі стійкою пігментацією.","TXA Niacinamide Capsule Cream — це потужний освітлюючий крем з транексамовою кислотою та ніацинамідом для боротьби зі стійкою пігментацією та мелазмою. Капсули забезпечують цілеспрямовану доставку активних компонентів.

Транексамова кислота — інгредієнт професійного рівня, який блокує вироблення меланіну. Ніацинамід вирівнює тон шкіри та зменшує розмір пор.

Використовувати вранці та ввечері. Обов'язково наносити SPF вдень.",18+,"Транексамова кислота, ніацинамід 10%, гіалуронова кислота, арбутин, пантенол",Всі типи,TXA,Лікувальна
Red Cream,"янтарна кислота, крем, акне, проблемна шкіра, протизапальний, корейська косметика","Крем з янтарною кислотою для проблемної шкіри з акне та запаленнями.","Red Cream — це спеціалізований крем для проблемної шкіри з акне. Формула з янтарною кислотою та центелою заспокоює запалення, регулює виділення себуму та прискорює загоєння.

Крем не пересушує шкіру, забезпечуючи необхідне зволоження. Ніацинамід зменшує почервоніння та вирівнює тон шкіри. Підходить для щоденного використання.

Наносити на все обличчя або точково на проблемні зони.",16+,"Янтарна кислота, екстракт центели, ніацинамід, цинк PCA, алантоїн",Проблемна,Red,Лікувальна
Zero Pore Blackhead Mud Mask,"глина, маска, чорні цятки, очищення пор, детокс, корейська косметика","Глиняна маска для глибокого очищення пор та видалення чорних цяток.","Zero Pore Blackhead Mud Mask — це глиняна маска для глибокого очищення пор та боротьби з чорними цятками. Каолін та бентоніт абсорбують надлишок себуму та витягують забруднення з пор.

Маска звужує пори, матує шкіру та запобігає появі нових чорних цяток. BHA розм'якшує вміст пор для легшого видалення.

Наносити на Т-зону на 10-15 хвилин 1-2 рази на тиждень.",16+,"Каолін, бентоніт, салицилова кислота (BHA), цинк PCA, алантоїн",Жирна/Комбінована,Zero Pore,Лікувальна
Deep Lifting Peptide Eye Cream,"пептиди, крем для очей, ліфтинг, зморшки, набряки, корейська косметика","Пептидний крем для зони навколо очей з ліфтинг-ефектом.","Deep Lifting Peptide Eye Cream — це концентрований крем для зони навколо очей з комплексом пептидів для боротьби зі зморшками, набряками та темними колами.

Пептиди стимулюють вироблення колагену, розгладжуючи «гусячі лапки». Кофеїн зменшує набряки та освітлює темні кола. Гіалуронова кислота зволожує ніжну шкіру навколо очей.

Наносити вранці та ввечері легкими вбиваючими рухами.",25+,"Пептидний комплекс, кофеїн, гіалуронова кислота, вітамін К, ніацинамід",Всі типи,Peptide,Натуральна
PDRN Pink Peptide Eye Cream,"PDRN, пептиди, крем для очей, регенерація, антивіковий, корейська косметика","Крем для зони навколо очей з PDRN та пептидами для регенерації та омолодження.","PDRN Pink Peptide Eye Cream — це антивіковий крем для зони навколо очей з рослинним PDRN та пептидами. Формула спеціально розроблена для ніжної шкіри навколо очей.

PDRN стимулює регенерацію клітин, пептиди підвищують пружність та розгладжують зморшки. Кофеїн зменшує набряки, а ніацинамід освітлює темні кола.

Наносити вранці та ввечері на зону навколо очей та брів.",25+,"Рослинний PDRN, пептидний комплекс, кофеїн, ніацинамід, гіалуронова кислота",Зріла,PDRN Pink,Натуральна
PDRN Pink Peptide Serum,"PDRN, пептиди, сироватка, антивіковий, пружність, корейська косметика","Антивікова сироватка з PDRN та пептидами для підвищення пружності та омолодження.","PDRN Pink Peptide Serum — це потужна антивікова сироватка, яка поєднує регенеруючу силу PDRN з омолоджуючими пептидами. Формула для тих, хто серйозно налаштований на боротьбу з ознаками старіння.

PDRN стимулює вироблення колагену та еластину, пептиди підтягують шкіру та розгладжують зморшки. Результат — пружна, молода шкіра з чітким контуром обличчя.

Наносити вранці та ввечері після тонера, перед кремом.",30+,"Рослинний PDRN, пептидний комплекс, аденозин, гіалуронова кислота, ніацинамід",Зріла,PDRN Pink,Натуральна
