Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
PDRN Pad,"PDRN, педи, очищення, тонізування, зволоження, зручність, корейська косметика","Педи з PDRN для щоденного очищення та тонізування шкіри. Зволоження в одному кроці.","PDRN Pad — це зручні педи, просочені есенцією з рослинним PDRN для швидкого та ефективного догляду. Одна сторона з текстурою для м'якого очищення, інша — гладка для тонізування.

Педи видаляють залишки забруднень після вмивання, тонізують та зволожують шкіру. PDRN стимулює регенерацію, а гіалуронова кислота забезпечує миттєве зволоження.

Ідеальні для ранкового догляду, подорожей або освіження протягом дня. 70 педів у банці.",16+,"Рослинний PDRN, гіалуронова кислота, ніацинамід, пантенол, алантоїн",Всі типи,PDRN,Натуральна
Deep Vita C Pad,"вітамін С, педи, освітлення, тонізування, ексфоліація, корейська косметика","Педи з вітаміном С для освітлення та м'якої ексфоліації. Сяюча шкіра щодня.","Deep Vita C Pad — це педи з концентрованим вітаміном С для щоденного освітлення та тонізування шкіри. Текстурована сторона забезпечує м'яку ексфоліацію, видаляючи омертвілі клітини.

Вітамін С освітлює пігментні плями, вирівнює тон шкіри та захищає від вільних радикалів. Педи ідеальні для підготовки шкіри до подальшого догляду.

Використовувати вранці після вмивання. Рекомендується наносити SPF-захист.",16+,"Вітамін С, AHA, гіалуронова кислота, ніацинамід, екстракт лимону",Всі типи,Deep Vita C,Натуральна
Zero Pore Pad,"звуження пор, педи, очищення пор, BHA, себоконтроль, корейська косметика","Педи з BHA для глибокого очищення пор та контролю жирного блиску.","Zero Pore Pad — це педи з салициловою кислотою (BHA) для глибокого очищення пор та боротьби з чорними цятками. Текстурована сторона ефективно видаляє забруднення з пор.

BHA проникає в пори, розчиняє себум та запобігає утворенню комедонів. Ніацинамід звужує пори та матує шкіру. Результат — чиста, матова шкіра без чорних цяток.

Використовувати 1-2 рази на день на проблемних зонах (Т-зона, ніс, підборіддя).",16+,"Салицилова кислота (BHA), ніацинамід, цинк PCA, алантоїн, екстракт гамамелісу",Жирна/Комбінована,Zero Pore,Лікувальна
Red Succinic Peeling Pad,"янтарна кислота, пілінг, педи, акне, проблемна шкіра, ексфоліація, корейська косметика","Пілінг-педи з янтарною кислотою для проблемної шкіри. М'яке очищення та боротьба з акне.","Red Succinic Peeling Pad — це педи з янтарною кислотою для м'якої ексфоліації проблемної шкіри. Янтарна кислота — ніжний пілінг-агент, який підходить навіть для чутливої шкіри з акне.

Педи видаляють омертвілі клітини, очищують пори, зменшують запалення та прискорюють загоєння. Регулярне використання запобігає появі нових висипань.

Використовувати ввечері 2-3 рази на тиждень. Уникати зони навколо очей.",16+,"Янтарна кислота, ніацинамід, екстракт центели, алантоїн, бетаїн",Проблемна,Red,Лікувальна
Collagen Pad,"колаген, педи, зволоження, пружність, тонізування, корейська косметика","Педи з колагеном для зволоження та підвищення пружності шкіри.","Collagen Pad — це педи, просочені есенцією з колагеном для інтенсивного зволоження та підвищення пружності шкіри. Ідеальні для зрілої та зневодненої шкіри.

Колаген насичує шкіру вологою, покращує еластичність та надає здорового вигляду. Гіалуронова кислота забезпечує додаткове зволоження, а пантенол заспокоює.

Використовувати вранці та ввечері після очищення. Можна залишати на шкірі як експрес-маску на 10-15 хвилин.",25+,"Колаген, гіалуронова кислота, пантенол, алантоїн, екстракт алое",Суха/Зріла,Collagen,Натуральна
Hyaluronate Pad,"гіалуронова кислота, педи, зволоження, тонізування, сухість, корейська косметика","Педи з гіалуроновою кислотою для інтенсивного зволоження сухої шкіри.","Hyaluronate Pad — це педи з високою концентрацією гіалуронової кислоти для миттєвого та тривалого зволоження. Ідеальні для сухої та зневодненої шкіри.

Гіалуронова кислота різної молекулярної маси забезпечує зволоження на різних рівнях шкіри. Низькомолекулярна проникає глибоко, високомолекулярна утримує вологу на поверхні.

Використовувати вранці та ввечері. Можна застосовувати як експрес-маску на сухих ділянках.",16+,"Гіалуронова кислота (3 види), пантенол, бетаїн, алантоїн, екстракт алое",Суха,Hyaluronic,Натуральна
Vitamin C Pad,"вітамін С, педи, освітлення, антиоксидант, тонізування, корейська косметика","Педи з вітаміном С для щоденного освітлення та захисту шкіри від вільних радикалів.","Vitamin C Pad — це педи з стабільним вітаміном С для щоденного освітлення та антиоксидантного захисту шкіри. Текстурована сторона забезпечує м'яку ексфоліацію.

Вітамін С нейтралізує вільні радикали, освітлює пігментні плями та стимулює вироблення колагену. Регулярне використання надає шкірі здорового сяйва.

Використовувати вранці після вмивання. Обов'язково наносити SPF-захист.",16+,"Вітамін С, ніацинамід, гіалуронова кислота, екстракт зеленого чаю, токоферол",Всі типи,Deep Vita C,Натуральна
Madecassoside,"мадекасосид, центела, заспокійливий, чутлива шкіра, відновлення, корейська косметика","Заспокійлива сироватка з мадекасосидом для чутливої та подразненої шкіри.","Madecassoside — це концентрована сироватка з чистим мадекасосидом (активний компонент центели азіатської) для заспокоєння та відновлення чутливої шкіри.

Мадекасосид — потужний заспокійливий інгредієнт, який зменшує почервоніння, запалення та прискорює загоєння. Ідеальний для шкіри після косметологічних процедур, при розацеа або акне.

Легка текстура швидко вбирається. Можна наносити точково на проблемні зони або на все обличчя.",16+,"Мадекасосид, азіатикозид, пантенол, алантоїн, бетаїн, гіалуронова кислота",Чутлива,Cica,Натуральна
Teatree Pad,"чайне дерево, педи, акне, антибактеріальний, проблемна шкіра, корейська косметика","Педи з маслом чайного дерева для боротьби з акне та бактеріями.","Teatree Pad — це педи з маслом чайного дерева для антибактеріального очищення проблемної шкіри. Чайне дерево — природний антисептик, який бореться з бактеріями, що викликають акне.

Педи очищують пори, зменшують запалення та запобігають появі нових висипань. Екстракт центели заспокоює подразнення, а ніацинамід вирівнює тон шкіри.

Використовувати на проблемних зонах 1-2 рази на день. Уникати зони навколо очей.",16+,"Масло чайного дерева, екстракт центели, ніацинамід, салицилова кислота, алантоїн",Проблемна,Teatree,Лікувальна
Phyto-Enzyme Pad,"ензими, педи, ексфоліація, очищення, тьмяна шкіра, корейська косметика","Педи з рослинними ензимами для м'якої ексфоліації та сяйва шкіри.","Phyto-Enzyme Pad — це педи з рослинними ензимами (папаїн, бромелаїн) для м'якої ензимної ексфоліації. Ензими розщеплюють омертвілі клітини без механічного тертя.

Ідеальні для чутливої шкіри, яка не переносить кислотні пілінги. Педи освіжають шкіру, вирівнюють текстуру та надають здорового сяйва.

Використовувати 2-3 рази на тиждень ввечері. Підходить для всіх типів шкіри.",16+,"Папаїн, бромелаїн, екстракт ананасу, гіалуронова кислота, алантоїн",Всі типи,Phyto,Натуральна

